PoL_Timestamp,Currency.Code,Order.number,Quantity,Amount,Outstanding.Quantity,Outstanding.Amount,Qty_.to.Receive,Quantity.Received,ItemNo,k_ExpectedReceiptDate,k_RequestedReceiptDate,k_ConfirmedDeliveryDate,k_ETCDate,k_B_L.Date,k_OrderDate,k_PostingDate,k_DateReceived,PoH_Timestamp
2.02305E+13,USD,4524414153,367,10512,0,0,0,367,146207,20200721,20200731,20200531,2020,20200720,20200212,20200720,20200720,2.02305E+13
2.02303E+13,USD,R04641-002,214,5723,0,0,0,214,509955,20200526,20200619,20200331,NULL,20200605,20200115,20200608,20200608,2.02303E+13
2.02304E+13,USD,4565429436,61,2063,0,0,0,61,685892,20200511,20200515,20200331,2020,20200512,20200213,20200508,20200508,2.02304E+13
2.02304E+13,USD,4533273115,31,573,0,0,0,31,959667,20200626,20200630,20200430,NULL,20200625,20200212,20200625,20200625,2.02304E+13
2.02301E+13,USD,4539502598,61,966,0,0,0,61,726545,20230123,20230115,20221130,2022,20230120,20220824,20230120,20230120,2.02301E+13
2.02301E+13,USD,4569406604,183,2897,0,0,0,183,726545,20230123,20230115,20221130,2022,20230120,20220824,20230120,20230120,2.02301E+13
2.02301E+13,USD,4536996281,367,5793,0,0,0,367,726545,20230123,20230115,20221130,2022,20230120,20220824,20230120,20230120,2.02301E+13
2.02301E+13,USD,4541723165,61,966,0,0,0,61,726545,20230123,20230115,20221130,2022,20230120,20220824,20230120,20230120,2.02301E+13
2.02301E+13,USD,4529961286,61,1309,0,0,0,61,686328,20230113,20221115,20220930,2022,20221117,20220624,20230106,20230106,2.02301E+13
2.02307E+13,USD,4537417246,306,6713,0,0,0,306,789059,20230223,20230215,20221231,2022,20230310,20220922,20230307,20230307,2.02307E+13
2.02307E+13,USD,4531841737,122,2741,0,0,0,122,789059,20230223,20230215,20221231,2022,20230310,20220922,20230307,20230307,2.02307E+13
2.02303E+13,USD,4529292288,733,16448,0,0,0,733,789059,20230308,20230215,20230105,2022,20230303,20220922,20230307,20230307,2.02303E+13
2.02302E+13,USD,4533397651,244,5370,0,0,0,244,789059,20230223,20230215,20230105,2022,20230222,20220922,20230222,20230222,2.02302E+13
2.02307E+13,USD,4541271205,92,2015,0,0,0,92,421502,20200909,20200728,20200630,2020,20200907,20200317,20200908,20200908,2.02307E+13
2.02301E+13,USD,4519671920,122,2763,0,0,0,122,941220,20230127,20230215,20230105,2022,20230126,20220922,20230126,20230126,2.02301E+13
2.02302E+13,USD,4538257007,978,21598,0,0,0,978,941220,20230202,20230215,20230105,2022,20230206,20220922,20230206,20230206,2.02302E+13
2.02302E+13,USD,4571468071,61,1350,0,0,0,61,941220,20230216,20230215,20221231,2022,20230215,20220922,20230215,20230215,2.02302E+13
2.02307E+13,USD,4542447325,61,1350,0,0,0,61,941220,20230228,20230215,20221231,2022,20230313,20220922,20230309,20230309,2.02307E+13
2.02302E+13,USD,4525698368,306,6908,0,0,0,306,941220,20230224,20230215,20221231,2022,20230223,20220922,20230223,20230223,2.02302E+13
2.02307E+13,USD,4541300566,1161,26252,0,0,0,1161,941220,20230228,20230215,20221231,2022,20230313,20220922,20230309,20230309,2.02307E+13
2.02302E+13,USD,4512111279,244,5527,0,0,0,244,941220,20230202,20230228,20221231,2022,20230203,20220922,20230203,20230203,2.02302E+13
2.02302E+13,USD,4545892776,1436,19301,0,0,0,1436,349761,20230207,20230126,20221130,2022,20230206,20220824,20230206,20230206,2.02302E+13
2.02307E+13,USD,4546315481,672,11965,0,0,0,672,865799,20230302,20230223,20221231,2022,20230310,20220922,20230306,20230306,2.02307E+13
2.02303E+13,USD,4511214261,1161,20713,0,0,0,1161,865799,20230310,20230215,20230105,2022,20230314,20220922,20230309,20230309,2.02303E+13
2.02302E+13,USD,4533756946,306,5439,0,0,0,306,865799,20230217,20230223,20221231,2022,20230216,20220922,20230216,20230216,2.02302E+13
2.02302E+13,USD,4515790496,61,1090,0,0,0,61,865799,20230217,20230215,20230105,2022,20230216,20220922,20230216,20230216,2.02302E+13
2.02307E+13,USD,4521179317,61,1088,0,0,0,61,865799,20230302,20230215,20221231,2022,20230310,20220922,20230306,20230306,2.02307E+13
2.02307E+13,USD,4577877883,61,1088,0,0,0,61,865799,20230302,20230215,20221231,2022,20230310,20220922,20230306,20230306,2.02307E+13
2.02303E+13,USD,4544683542,183,3263,0,0,0,183,865799,20230315,20230215,20230105,2022,20230314,20220922,20230310,20230310,2.02303E+13
2.02302E+13,USD,4523112685,61,1090,0,0,0,61,865799,20230217,20230215,20230105,2022,20230216,20220922,20230216,20230216,2.02302E+13
2.02303E+13,USD,4536160202,367,6541,0,0,0,367,865799,20230310,20230215,20230105,2022,20230314,20220922,20230309,20230309,2.02303E+13
2.02302E+13,USD,4578885308,122,2180,0,0,0,122,865799,20230217,20230215,20230105,2022,20230216,20220922,20230216,20230216,2.02302E+13
2.02303E+13,USD,4574672778,733,13053,0,0,0,733,865799,20230310,20230215,20230105,2022,20230314,20220922,20230309,20230309,2.02303E+13
2.02302E+13,USD,4526425652,61,1090,0,0,0,61,865799,20230217,20230215,20230105,2022,20230216,20220922,20230216,20230216,2.02302E+13
2.02302E+13,USD,4534507250,611,15974,0,0,0,611,285657,20230209,20230223,20221231,2022,20230208,20220922,20230208,20230208,2.02302E+13
2.02304E+13,USD,4543689959,92,2395,0,0,0,92,113609,20200626,20200630,20200430,NULL,20200625,20200212,20200625,20200625,2.02304E+13
2.02303E+13,USD,4541061368,183,3872,0,0,0,183,598845,20230214,20230228,20221231,2022,20230213,20220922,20230213,20230213,2.02303E+13
2.02307E+13,USD,4514762714,31,672,0,0,0,31,598845,20230411,20230215,20221231,2022,20230327,20220922,20230406,20230406,2.02307E+13
2.02303E+13,USD,4544075513,306,6453,0,0,0,306,598845,20230214,20230228,20221231,2022,20230213,20220922,20230213,20230213,2.02303E+13
2.02303E+13,USD,4515283271,61,1313,0,0,0,61,598845,20230214,20230215,20230105,2022,20230213,20220922,20230213,20230213,2.02303E+13
2.02303E+13,USD,4513366167,306,6453,0,0,0,306,598845,20230214,20230228,20221231,2022,20230213,20220922,20230213,20230213,2.02303E+13
2.02302E+13,USD,4521905345,428,9034,0,0,0,428,598845,20230224,20230215,20230105,2022,20230223,20220922,20230223,20230223,2.02302E+13
2.02307E+13,USD,4520625527,61,1313,0,0,0,61,598845,20230411,20230215,20221231,2022,20230327,20220922,20230406,20230406,2.02307E+13
2.02302E+13,USD,4538036583,306,4107,0,0,0,306,783918,20230203,20230126,20221215,2022,20230207,20220824,20230206,20230206,2.02302E+13
2.02302E+13,USD,4587374956,275,3908,0,0,0,275,783918,20230224,20230115,20221215,2022,20230223,20220824,20230222,20230222,2.02302E+13
2.02301E+13,USD,4514950449,1283,17209,0,0,0,1283,783918,20230113,20230115,20221130,2022,20230112,20220824,20230112,20230112,2.02301E+13
2.02302E+13,USD,4542560824,1467,20841,0,0,0,1467,783918,20230224,20230115,20221215,2022,20230223,20220824,20230222,20230222,2.02302E+13
2.02302E+13,USD,4540979119,2047,29110,0,0,0,2047,783918,20230207,20230115,20221130,2022,20230203,20220824,20230203,20230203,2.02302E+13
2.02303E+13,USD,4516596569,917,13025,0,0,0,917,783918,20230214,20230115,20221215,2022,20230213,20220824,20230213,20230213,2.02303E+13
2.02301E+13,USD,4522216197,1925,25813,0,0,0,1925,783918,20230113,20230115,20221130,2022,20230112,20220824,20230112,20230112,2.02301E+13
2.02302E+13,USD,4519826328,275,3910,0,0,0,275,783918,20230224,20230126,20221215,2022,20230223,20220824,20230223,20230223,2.02302E+13
2.02302E+13,USD,4544842876,61,1882,0,0,0,61,491481,20230220,20230215,20230115,2022,20230217,20220922,20230217,20230217,2.02302E+13
2.02302E+13,USD,4516294903,61,1882,0,0,0,61,491481,20230220,20230215,20230115,2022,20230217,20220922,20230217,20230217,2.02302E+13
2.02302E+13,USD,4543707301,92,2877,0,0,0,92,621507,20230224,20230215,20221231,2023,20230303,20220922,20230224,20230224,2.02302E+13
2.02303E+13,USD,4541585431,31,1088,0,0,0,31,338549,20230303,20230215,20230105,2022,20230302,20220922,20230302,20230302,2.02303E+13
2.02303E+13,USD,4525617400,1161,41996,0,0,0,1161,206092,20230320,20230215,20221231,2022,20230317,20220922,20230317,20230317,2.02303E+13
2.02303E+13,USD,4543345406,122,4421,0,0,0,122,206092,20230315,20230215,20230105,2022,20230314,20220922,20230313,20230313,2.02303E+13
2.02307E+13,USD,4511160759,122,4421,0,0,0,122,206092,20230227,20230215,20221231,2022,20230310,20220922,20230309,20230309,2.02307E+13
